# index code colatitude longitude radius 
1 TKH 9.7641196848179366 52.799999999999997 6357.3740655748843
2 CCS 12.363244658014413 104.28300000000000 6357.7376435218766
3 THL 12.614771883923218 290.76700000000000 6357.8241054444879
4 RES 15.408294536762700 265.10500000000002 6358.2846063463867
5 BJN2 15.599391894649933 19.199999999999999 6358.3711912676372
6 DIK 16.561856048042802 80.561999999999998 6358.4965872694702
7 TIK 18.532669633612596 129.00000000000000 6358.9426721853506
8 BRW 18.794064745319183 203.38000000000000 6358.9735934232513
9 TRO 20.462732829764004 18.948000000000000 6359.4661170136051
10 ABK 21.774245903582212 18.823000000000000 6360.0619098302741
11 SOD3 22.769011563218612 26.629999999999999 6360.1193992515991
12 CWE 23.979587975654916 190.16499999999999 6360.2793347261604
13 CMO2 25.281296046994051 212.16700000000000 6360.7262156938668
14 SRE 27.725187786215361 152.31700000000001 6361.3623305655165
15 DOB2 28.086538128997333 9.1170000000000009 6362.1335803420498
16 YAK 28.142762525744971 129.71700000000001 6361.5909735859304
17 NUR 29.657196826317819 24.655000000000001 6362.0779406602978
18 LER 30.033477111573937 358.81700000000001 6362.1738770101138
19 LNN 30.217091572069783 30.704999999999998 6362.2182277557395
20 LOV 30.824073975435926 17.827000000000002 6362.3709633240205
21 SIT2 33.108847333461156 224.68299999999999 6363.1340867161007
22 SVD 33.443740172073454 61.067000000000000 6363.5145306226914
23 KZN 34.346051351510901 48.850000000000001 6363.6157114789276
24 BFE 34.554558989587676 11.672000000000001 6363.6881849836345
25 RSV 34.696901056349645 12.457000000000001 6363.7037778150889
26 MOS 34.712934858704898 37.311999999999998 6363.8633707733115
27 ESK 34.863288638549172 356.80000000000001 6363.9578683603049
28 MEA 35.565868525141575 246.65299999999999 6364.6625268729103
29 HLP 35.573905995150014 18.815000000000001 6363.9683575545960
30 WNG 36.440718131401894 9.0730000000000004 6364.3225846525384
31 WIT 37.372481323506719 6.6680000000000001 6364.6260827452852
32 ZUY 37.719087639428594 104.03300000000000 6364.7309313096275
33 SWI 38.066664858114827 21.250000000000000 6364.9565322906110
